event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
5107,2013-07-15 00:00:00,2013,7,196,India,IN,Nāgāland,Nagaland,True,25.6269,94.1139,landslide,rain,medium,unknown,0.0,,"National Highway 29 Near Phesama Village, Nagaland","National Highway 29 Near Phesama Village, Nagaland"
5123,2013-07-17 00:00:00,2013,7,198,India,IN,Nāgāland,Nagaland,True,25.7131,94.0885,mudslide,rain,medium,unknown,0.0,,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima","National Highway 2 Near Meriema Village, 10 Km Away From Kohima"
5122,2013-07-17 00:00:00,2013,7,198,India,IN,Nāgāland,Nagaland,True,25.7658,93.9413,mudslide,rain,medium,unknown,0.0,,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland","National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland"
5130,2013-07-18 00:00:00,2013,7,199,India,IN,Uttarakhand,Uttarakhand,False,30.7314,78.4347,debris_flow,downpour,small,unknown,0.0,,"Netali Maneri Marg, Uttarkashi District, Uttarakhand","Netali Maneri Marg, Uttarkashi District, Uttarakhand"
5129,2013-07-18 00:00:00,2013,7,199,India,IN,Uttarakhand,Uttarakhand,False,30.4043,79.3308,landslide,downpour,medium,unknown,0.0,,"Chamoli District, Uttarakhand","Chamoli District, Uttarakhand"
5139,2013-07-19 00:00:00,2013,7,200,India,IN,Uttarakhand,Uttarakhand,False,30.0718,80.2369,landslide,downpour,medium,unknown,0.0,,"Munsyari Area, Pithoragarh, Uttarakhand","Munsyari Area, Pithoragarh, Uttarakhand"
5177,2013-07-23 00:00:00,2013,7,204,India,IN,Uttarakhand,Uttarakhand,False,30.2902,79.151,landslide,downpour,medium,unknown,0.0,,"Gauchar, Chamoli District, Uttarakhand","Gauchar, Chamoli District, Uttarakhand"
5176,2013-07-23 00:00:00,2013,7,204,India,IN,Uttarakhand,Uttarakhand,False,30.1944,79.1939,landslide,downpour,medium,unknown,0.0,,"Deval, Chamoli District, Uttarakhand","Deval, Chamoli District, Uttarakhand"
5171,2013-07-23 08:45:00,2013,7,204,India,IN,Kerala,Kerala,False,10.0533,76.4788,rock_fall,unknown,small,unknown,2.0,2.0,"Vengola, Kerala","Vengola, Kerala"
5183,2013-07-24 00:00:00,2013,7,205,India,IN,Uttarakhand,Uttarakhand,False,30.3056,79.3286,landslide,downpour,medium,unknown,0.0,,"Tefana, Uttarakhand","Tefana, Uttarakhand"
5180,2013-07-24 00:00:00,2013,7,205,India,IN,Maharashtra,Maharashtra,False,19.1711,73.0207,landslide,downpour,medium,unknown,0.0,,"National Highway 4, Navi Mumbai, Maharashtra","National Highway 4, Navi Mumbai, Maharashtra"
5184,2013-07-24 00:00:00,2013,7,205,India,IN,Uttarakhand,Uttarakhand,False,30.9058,78.0906,landslide,downpour,medium,unknown,0.0,,"Sunali, Uttarakhand","Sunali, Uttarakhand"
5179,2013-07-24 00:00:00,2013,7,205,India,IN,Uttarakhand,Uttarakhand,False,30.262,79.2191,landslide,downpour,medium,unknown,0.0,,"Karnaprayag, Uttarakhand","Karnaprayag, Uttarakhand"
5178,2013-07-24 00:00:00,2013,7,205,India,IN,Uttarakhand,Uttarakhand,False,30.4605,79.4774,landslide,continuous_rain,medium,unknown,2.0,,"Chamoli, Uttarakhand","Chamoli, Uttarakhand"
5182,2013-07-24 00:00:00,2013,7,205,India,IN,Uttarakhand,Uttarakhand,False,30.301,79.3628,landslide,downpour,medium,unknown,0.0,,"Thirpak, Uttarakhand","Thirpak, Uttarakhand"
5181,2013-07-24 00:00:00,2013,7,205,India,IN,Uttarakhand,Uttarakhand,False,30.2733,79.233,landslide,downpour,medium,unknown,,,"Rishikesh-Badrinath Highway, Uttarakhand","Rishikesh-Badrinath Highway, Uttarakhand"
5200,2013-07-25 00:00:00,2013,7,206,India,IN,Tamil Nadu,Tamil Nadu,False,11.3192,76.5959,landslide,downpour,medium,unknown,,,"Avalanche, Nilgiris, Tamil Nadu","Avalanche, Nilgiris, Tamil Nadu"
5199,2013-07-25 00:00:00,2013,7,206,India,IN,Uttarakhand,Uttarakhand,False,30.7866,78.6171,landslide,continuous_rain,medium,unknown,0.0,,"Malla, Uttarkashi, Uttarakhand","Malla, Uttarkashi, Uttarakhand"
5198,2013-07-25 00:00:00,2013,7,206,India,IN,Uttarakhand,Uttarakhand,False,30.8928,78.48,landslide,continuous_rain,medium,unknown,0.0,,"Quaritok, Uttarkashi, Uttarakhand","Quaritok, Uttarkashi, Uttarakhand"
5195,2013-07-25 00:00:00,2013,7,206,India,IN,Uttarakhand,Uttarakhand,False,30.4041,79.3276,landslide,continuous_rain,medium,unknown,,,"Alaknanda Valley Of Chamoli District, Uttarakhand","Alaknanda Valley Of Chamoli District, Uttarakhand"
5196,2013-07-25 00:00:00,2013,7,206,India,IN,Uttarakhand,Uttarakhand,False,30.8928,78.48,landslide,continuous_rain,medium,unknown,,,"Uttarkashi, Uttarakhand","Uttarkashi, Uttarakhand"
5197,2013-07-25 00:00:00,2013,7,206,India,IN,Uttarakhand,Uttarakhand,False,30.8203,78.6185,landslide,continuous_rain,medium,unknown,,,"Ganga Vihar Colony In Bhatwadi Area, Uttarkashi, Uttarakhand","Ganga Vihar Colony In Bhatwadi Area, Uttarkashi, Uttarakhand"
5187,2013-07-25 01:30:00,2013,7,206,India,IN,Maharashtra,Maharashtra,False,19.3379,73.7767,rock_fall,downpour,small,unknown,2.0,,"Malshej Ghat, Maharashtra","Malshej Ghat, Maharashtra"
5189,2013-07-25 05:00:00,2013,7,206,India,IN,Maharashtra,Maharashtra,False,19.3379,73.7767,rock_fall,downpour,medium,unknown,,,"Malshej Ghat, Maharashtra","Malshej Ghat, Maharashtra"
5208,2013-07-26 00:00:00,2013,7,207,India,IN,Uttarakhand,Uttarakhand,False,30.2835,79.2498,landslide,rain,medium,unknown,,,Rishikesh-Badrinath Highway Near Kaleshwar,Rishikesh-Badrinath Highway Near Kaleshwar
5209,2013-07-26 00:00:00,2013,7,207,India,IN,Uttarakhand,Uttarakhand,False,30.6539,78.3366,landslide,rain,medium,unknown,,,Rishikesh-Gangotri Highway Near Dharasu-Nalupani,Rishikesh-Gangotri Highway Near Dharasu-Nalupani
5214,2013-07-27 00:00:00,2013,7,208,India,IN,Himachal Pradesh,Himachal Pradesh,False,31.8931,78.63,landslide,mining,medium,unknown,,,"Malling, Himachal Pradesh","Malling, Himachal Pradesh"
5215,2013-07-27 00:00:00,2013,7,208,India,IN,Uttarakhand,Uttarakhand,False,30.4521,78.754,landslide,rain,medium,unknown,,,Balsori Villages In The Akhrori Area,Balsori Villages In The Akhrori Area
5213,2013-07-27 00:00:00,2013,7,208,India,IN,Jharkhand,Jharkhand,False,24.3599,85.6179,landslide,downpour,small,unknown,2.0,,Paharpur Locality In Koderma,Paharpur Locality In Koderma
5224,2013-07-28 00:00:00,2013,7,209,India,IN,Uttarakhand,Uttarakhand,False,29.9964,80.201,mudslide,downpour,small,unknown,1.0,,"Samkot Village Of Pithoragarhi, Uttarakhand","Samkot Village Of Pithoragarhi, Uttarakhand"
5225,2013-07-28 00:00:00,2013,7,209,India,IN,Uttarakhand,Uttarakhand,False,30.819,78.6149,mudslide,downpour,small,unknown,1.0,,"Bhatwari Area Of Uttarkashi Districti, Uttarakhand","Bhatwari Area Of Uttarkashi Districti, Uttarakhand"
5233,2013-07-29 10:00:00,2013,7,210,India,IN,Kashmir,Jammu and Kashmir,False,32.9918,75.1945,landslide,rain,small,unknown,,,"Samroli, Udhampur District, Kashmir","Samroli, Udhampur District, Kashmir"
5234,2013-07-29 10:30:00,2013,7,210,India,IN,Kashmir,Jammu and Kashmir,False,32.9918,75.1945,rock_fall,rain,medium,unknown,,,"Samroli, Udhampur District, Kashmir","Samroli, Udhampur District, Kashmir"
5240,2013-07-31 08:00:00,2013,7,212,India,IN,Uttarakhand,Uttarakhand,False,30.3822,78.0949,landslide,downpour,medium,unknown,4.0,,"Dehradun, Uttarakhand","Dehradun, Uttarakhand"
5241,2013-07-31 08:00:00,2013,7,212,India,IN,Uttarakhand,Uttarakhand,False,29.5952,79.6625,landslide,downpour,medium,unknown,,,"Salut, Almora, Uttarakhand","Salut, Almora, Uttarakhand"
5250,2013-08-01 00:00:00,2013,8,213,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,27.8837,93.0515,mudslide,rain,medium,unknown,,,"Polo River At Polosang, Arunachal Pradesh","Polo River At Polosang, Arunachal Pradesh"
5244,2013-08-01 20:00:00,2013,8,213,India,IN,Kashmir,Jammu and Kashmir,False,34.4332,76.2851,landslide,downpour,medium,unknown,,,"Pushkum In Kargil, Kashmir","Pushkum In Kargil, Kashmir"
5252,2013-08-02 04:30:00,2013,8,214,India,IN,Kashmir,Jammu and Kashmir,False,32.5282,75.1199,landslide,continuous_rain,medium,unknown,0.0,,Jammu-Pathankot Route Near Samba,Jammu-Pathankot Route Near Samba
5264,2013-08-04 00:00:00,2013,8,216,India,IN,Kerala,Kerala,False,10.3228,76.4319,mudslide,downpour,large,unknown,,,Kerala,Kerala
5272,2013-08-04 00:00:00,2013,8,216,India,IN,Nāgāland,Nagaland,True,26.2083,94.5438,landslide,monsoon,medium,unknown,,,"Longsa, Nagaland","Longsa, Nagaland"
5265,2013-08-04 00:00:00,2013,8,216,India,IN,Kerala,Kerala,False,9.9147,77.011,landslide,continuous_rain,very_large,unknown,3.0,,"Idukki, Kerala","Idukki, Kerala"
