event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
9124,2016-07-19 00:00:00,2016,7,201,India,IN,Meghalaya,Meghalaya,True,25.203,90.5573,translational_slide,continuous_rain,large,natural_slope,0.0,0.0,"Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India","Rongthragittim Songittal village, near Sibbari, South Garo Hills District, Meghalaya, India"
9087,2016-07-19 00:00:00,2016,7,201,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,28.235,94.9612,landslide,downpour,medium,above_road,0.0,0.0,"5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India","5 km off Sangam point on Aalo- Pangin road, Arunachal Pradesh, India"
9051,2016-07-19 09:00:00,2016,7,201,India,IN,Meghalaya,Meghalaya,True,26.09748244,91.8744337,landslide,unknown,medium,natural_slope,0.0,1.0,"12th Mile area at Jorabat, Meghalaya, India","12th Mile area at Jorabat, Meghalaya, India"
9122,2016-07-20 00:00:00,2016,7,202,India,IN,Assam,Assam,True,26.1966,91.802,landslide,rain,medium,unknown,0.0,0.0,"Noonmati, Guwahati, Assam, India","Noonmati, Guwahati, Assam, India"
9186,2016-07-25 12:30:00,2016,7,207,India,IN,Manipur,Manipur,True,25.48,94.1383,landslide,continuous_rain,medium,above_road,0.0,1.0,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India","Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India"
9219,2016-07-26 23:00:00,2016,7,208,India,IN,Nagaland,Nagaland,True,26.0101,94.5282,landslide,downpour,medium,retaining_wall,0.0,0.0,"Zunheboto, Nagaland, India","Zunheboto, Nagaland, India"
9252,2016-07-28 00:00:00,2016,7,210,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,27.5748,91.8644,landslide,monsoon,medium,unknown,0.0,0.0,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India","Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India"
9251,2016-07-28 23:00:00,2016,7,210,India,IN,Nagaland,Nagaland,True,25.8702,94.7844,landslide,downpour,medium,retaining_wall,0.0,0.0,"Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India","Government Middle School (GMS) Kiphire station “B”, Kiphire, Nagaland, India"
9232,2016-07-28 23:00:00,2016,7,210,India,IN,Mizoram,Mizoram,True,23.5397,93.3783,landslide,continuous_rain,medium,unknown,2.0,6.0,"Ngur, near Mizoram-Myanmar border, India","Ngur, near Mizoram-Myanmar border, India"
9464,2016-08-05 00:00:00,2016,8,218,India,IN,Arunachal Pradesh,Arunachal Pradesh,True,27.5754,91.9754,landslide,downpour,medium,unknown,0.0,3.0,Babrang village under Jang circle in Tawang district,Babrang village under Jang circle in Tawang district
9604,2016-10-12 00:00:00,2016,10,286,India,IN,Sikkim,Sikkim,True,27.2676,88.2891,landslide,continuous_rain,medium,above_road,0.0,0.0,Legship,Legship
9620,2016-10-15 00:00:00,2016,10,289,India,IN,Sikkim,Sikkim,True,27.172,88.5292,landslide,downpour,medium,above_road,0.0,0.0,Rangpo,Rangpo
9619,2016-10-15 00:00:00,2016,10,289,India,IN,Sikkim,Sikkim,True,27.1695,88.3664,landslide,rain,medium,above_road,0.0,0.0,Namchi,Namchi
